Samples,Amplitude
0,1
7.62945e-05,1
0.000152589,1
0.000228884,1
0.000305178,1
0.000381473,1
0.000457767,1
0.000534062,1
0.000610356,1
0.000686651,1
0.000762945,1
0.00083924,1
0.000915534,1
0.000991829,1
0.00106812,1
0.00114442,1
0.00122071,1
0.00129701,1
0.0013733,1
0.0014496,1
0.00152589,1
0.00160219,1
0.00167848,1
0.00175477,1
0.00183107,1
0.00190736,1
0.00198366,1
0.00205995,1
0.00213625,1
0.00221254,1
0.00228884,1
0.00236513,1
0.00244142,1
0.00251772,1
0.00259401,1
0.00267031,1
0.0027466,1
0.0028229,1
0.00289919,1
0.00297549,1
0.00305178,1
0.00312808,1
0.00320437,1
0.00328066,1
0.00335696,1
0.00343325,1
0.00350955,1
0.00358584,1
0.00366214,1
0.00373843,1
0.00381473,1
0.00389102,1
0.00396732,1
0.00404361,1
0.0041199,1
0.0041962,1
0.00427249,1
0.00434879,1
0.00442508,1
0.00450138,1
0.00457767,1
0.00465397,1
0.00473026,1
0.00480656,1
0.00488285,1
0.00495914,1
0.00503544,1
0.00511173,1
0.00518803,1
0.00526432,1
0.00534062,1
0.00541691,1
0.00549321,1
0.0055695,1
0.0056458,1
0.00572209,1
0.00579838,1
0.00587468,1
0.00595097,1
0.00602727,1
0.00610356,1
0.00617986,1
0.00625615,1
0.00633245,1
0.00640874,1
0.00648503,1
0.00656133,1
0.00663762,1
0.00671392,1
0.00679021,1
0.00686651,1
0.0069428,1
0.0070191,1
0.00709539,1
0.00717169,1
0.00724798,1
0.00732427,1
0.00740057,1
0.00747686,1
0.00755316,1
0.00762945,1
0.00770575,1
0.00778204,1
0.00785834,1
0.00793463,1
0.00801093,1
0.00808722,1
0.00816351,1
0.00823981,1
0.0083161,1
0.0083924,1
0.00846869,1
0.00854499,1
0.00862128,1
0.00869758,1
0.00877387,1
0.00885017,1
0.00892646,1
0.00900275,1
0.00907905,1
0.00915534,1
0.00923164,1
0.00930793,1
0.00938423,1
0.00946052,1
0.00953682,1
0.00961311,1
0.0096894,1
0.0097657,1
0.00984199,1
0.00991829,1
0.00999458,1
0.0100709,1
0.0101472,1
0.0102235,1
0.0102998,1
0.0103761,1
0.0104524,1
0.0105286,1
0.0106049,1
0.0106812,1
0.0107575,1
0.0108338,1
0.0109101,1
0.0109864,1
0.0110627,1
0.011139,1
0.0112153,1
0.0112916,1
0.0113679,1
0.0114442,1
0.0115205,1
0.0115968,1
0.0116731,1
0.0117494,1
0.0118257,1
0.0119019,1
0.0119782,1
0.0120545,1
0.0121308,1
0.0122071,1
0.0122834,1
0.0123597,1
0.012436,1
0.0125123,1
0.0125886,1
0.0126649,1
0.0127412,1
0.0128175,1
0.0128938,1
0.0129701,1
0.0130464,1
0.0131227,1
0.013199,1
0.0132752,1
0.0133515,1
0.0134278,1
0.0135041,1
0.0135804,1
0.0136567,1
0.013733,1
0.0138093,1
0.0138856,1
0.0139619,1
0.0140382,1
0.0141145,1
0.0141908,1
0.0142671,1
0.0143434,1
0.0144197,1
0.014496,1
0.0145723,1
0.0146485,1
0.0147248,1
0.0148011,1
0.0148774,1
0.0149537,1
0.01503,1
0.0151063,1
0.0151826,1
0.0152589,1
0.0153352,1
0.0154115,1
0.0154878,1
0.0155641,1
0.0156404,1
0.0157167,1
0.015793,1
0.0158693,1
0.0159456,1
0.0160219,1
0.0160981,1
0.0161744,1
0.0162507,1
0.016327,1
0.0164033,1
0.0164796,1
0.0165559,1
0.0166322,1
0.0167085,1
0.0167848,1
0.0168611,1
0.0169374,1
0.0170137,1
0.01709,1
0.0171663,1
0.0172426,1
0.0173189,1
0.0173952,1
