Frequency Samples,Real,Imag
-6553.6,0,0
-6553.5,1.99998,-4.79221e-05
-6553.4,-0.472188,2.26498e-05
-6553.3,1.9998,-0.000143886
-6553.2,-4.47234,0.000428915
-6553.1,-8,0.000958804
-6553,8.47359,-0.00122046
-6552.9,2.00046,-0.000335932
-6552.8,4.47248,-0.000857353
-6552.7,2.00014,-0.000431061
-6552.6,4,-0.00390625
-6552.5,1.99983,-0.000527382
-6552.4,4.47161,-0.00128579
-6552.3,1.99914,-0.000622869
-6552.2,8.46873,-0.00284219
-6552.1,-8,0.00287612
-6552,-4.4713,0.00171483
-6551.9,2.00112,-0.000815153
-6551.8,-0.471663,0.000202417
-6551.7,2.0003,-0.000910997
-6551.6,0,1.32248e-07
-6551.5,1.99967,-0.00100684
-6551.4,-0.472713,0.00025034
-6551.3,1.99848,-0.00110209
-6551.2,-4.47338,0.00257313
-6551.1,-8,0.00479374
-6551,8.47846,-0.00528526
-6550.9,2.00178,-0.00129557
-6550.8,4.47335,-0.00300241
-6550.7,2.00045,-0.00139046
-6550.6,3.99999,-0.00292969
-6550.5,1.99952,-0.00148535
-6550.4,4.47074,-0.00342894
-6550.3,1.99782,-0.00158012
-6550.2,8.46387,-0.00689936
-6550.1,-8,0.00671114
-6550,-4.47026,0.00385773
-6549.9,2.00244,-0.0017761
-6549.8,-0.471139,0.000428438
-6549.7,2.00061,-0.00186968
-6549.6,-5.96046e-07,-1.13621e-07
-6549.5,1.99936,-0.00196481
-6549.4,-0.473238,0.00047493
-6549.3,1.99716,-0.00205874
-6549.2,-4.47442,0.00471842
-6549.1,-7.99999,0.0086287
-6549,8.48332,-0.00935459
-6548.9,2.0031,-0.00225675
-6548.8,4.47422,-0.00514746
-6548.7,2.00076,-0.00235033
-6548.6,3.99999,-0.00585938
-6548.5,1.9992,-0.00244331
-6548.4,4.46987,-0.00557137
-6548.3,1.9965,-0.00253618
-6548.2,8.45901,-0.0109499
-6548.1,-7.99999,0.0105459
-6548,-4.46922,0.00599861
-6547.9,2.00376,-0.00273752
-6547.8,-0.470618,0.000653028
-6547.7,2.00092,-0.00282955
-6547.6,-1.07288e-06,3.72529e-08
-6547.5,1.99905,-0.00292301
-6547.4,-0.473761,0.00070262
-6547.3,1.99584,-0.00301373
-6547.2,-4.47546,0.0068655
-6547.1,-7.99999,0.0124638
-6547,8.48818,-0.0134263
-6546.9,2.00442,-0.00321877
-6546.8,4.47508,-0.00729394
-6546.7,2.00107,-0.00330949
-6546.6,3.99999,-0.00683594
-6546.5,1.99889,-0.00340176
-6546.4,4.469,-0.00771236
-6546.3,1.99518,-0.00349081
-6546.2,8.45416,-0.0149915
-6546.1,-7.99998,0.0143812
-6546,-4.46817,0.00813913
-6545.9,2.00508,-0.00370026
-6545.8,-0.470091,0.000878572
-6545.7,2.00122,-0.00378942
-6545.6,-2.38419e-06,5.21541e-08
-6545.5,1.99873,-0.00388026
-6545.4,-0.474288,0.00093317
-6545.3,1.99452,-0.00396776
-6545.2,-4.4765,0.0090127
-6545.1,-7.99998,0.0162983
-6545,8.49304,-0.0175092
-6544.9,2.00574,-0.00418234
-6544.8,4.47595,-0.00944066
-6544.7,2.00138,-0.00426936
-6544.6,4.00001,-0.00878906
-6544.5,1.99858,-0.00435948
-6544.4,4.46813,-0.00985265
-6544.3,1.99386,-0.00444472
-6544.2,8.4493,-0.0190389
-6544.1,-7.99997,0.0182162
-6544,-4.46712,0.0102789
-6543.9,2.00639,-0.00466502
-6543.8,-0.469571,0.0011034
-6543.7,2.00153,-0.0047493
-6543.6,-3.8147e-06,-3.57628e-07
-6543.5,1.99842,-0.00483727
-6543.4,-0.474811,0.00116038
-6543.3,1.9932,-0.0049206
-6543.2,-4.47753,0.0111611
-6543.1,-7.99997,0.0201334
-6543,8.4979,-0.0215921
-6542.9,2.00705,-0.00514734
-6542.8,4.47681,-0.0115888
-6542.7,2.00169,-0.00522923
-6542.6,3.99999,-0.010498
-6542.5,1.99826,-0.00531626
-6542.4,4.46725,-0.0119922
-6542.3,1.99254,-0.00539696
-6542.2,8.44444,-0.0230718
-6542.1,-7.99996,0.0220508
-6542,-4.46608,0.0124174
-6541.9,2.00771,-0.00563002
-6541.8,-0.469047,0.00133324
-6541.7,2.00184,-0.00570941
-6541.6,-5.36442e-06,1.19209e-07
-6541.5,1.9981,-0.005795
-6541.4,-0.475336,0.00138879
-6541.3,1.99188,-0.00587237
-6541.2,-4.47856,0.013311
-6541.1,-7.99996,0.0239681
-6541,8.50277,-0.0256791
-6540.9,2.00837,-0.00611317
-6540.8,4.47767,-0.0137374
-6540.7,2.00199,-0.00619006
-6540.6,3.99998,-0.0124512
-6540.5,1.99794,-0.00627327
-6540.4,4.46638,-0.0141306
-6540.3,1.99122,-0.00634766
-6540.2,8.43959,-0.0271063
-6540.1,-7.99995,0.025886
-6540,-4.46503,0.0145545
-6539.9,2.00903,-0.00659704
-6539.8,-0.468521,0.00154972
-6539.7,2.00215,-0.00667
-6539.6,-7.15256e-06,-5.21541e-08
-6539.5,1.99779,-0.00675201
-6539.4,-0.475861,0.00162029
-6539.3,1.99056,-0.00682271
-6539.2,-4.4796,0.0154607
