Frequency Samples,Real,Imag
-51.1,-3.32948e-07,-0.000597482
-51,7.21077e-07,0.0124455
-50.9,4.92204e-07,0.000404623
-50.8,4.10946e-08,-0.000832771
-50.7,-5.46454e-07,0.00408312
-50.6,-2.70084e-08,0.000235207
-50.5,1.75706e-06,-0.00114179
-50.4,-1.36968e-06,0.00236496
-50.3,-1.81433e-07,7.83025e-05
-50.2,1.44588e-07,-0.00158878
-50.1,9.64268e-07,0.00159869
-50,1.85799e-07,-7.52719e-05
-49.9,-5.86791e-07,-0.00234465
-49.8,5.83124e-07,0.00114861
-49.7,-4.68281e-07,-0.000230479
-49.6,2.99187e-08,-0.00402487
-49.5,3.7672e-07,0.000838549
-49.4,3.16417e-07,-0.000399943
-49.3,-1.11188e-06,-0.0119728
-49.2,1.75263e-06,0.000603901
-49.1,1.29221e-08,-0.000593892
-49,-1.39844e-06,0.0129552
-48.9,1.88127e-07,0.000408355
-48.8,8.0769e-07,-0.000826902
-48.7,3.24333e-07,0.00413594
-48.6,4.73345e-07,0.000237941
-48.5,4.22588e-07,-0.00113359
-48.4,6.24917e-07,0.0023862
-48.3,3.71365e-07,8.08372e-05
-48.2,1.48523e-06,-0.00157775
-48.1,1.52795e-06,0.0016108
-48,4.94765e-07,-7.16241e-05
-47.9,7.0699e-07,-0.00232497
-47.8,-6.46862e-07,0.00115594
-47.7,-5.0728e-07,-0.000228981
-47.6,-1.08383e-07,-0.0039726
-47.5,-4.21365e-07,0.000843773
-47.4,-2.7864e-07,-0.000397992
-47.3,3.00817e-07,-0.0115367
-47.2,-3.75672e-07,0.000606251
-47.1,3.3481e-07,-0.000590129
-47,-4.59317e-07,0.0135084
-46.9,4.57512e-07,0.000410662
-46.8,-8.31322e-07,-0.000820678
-46.7,-1.89757e-08,0.00419275
-46.6,7.86269e-07,0.000241876
-46.5,4.65102e-06,-0.00112759
-46.4,2.9942e-07,0.00240736
-46.3,-2.30863e-06,8.43842e-05
-46.2,6.2678e-07,-0.00156622
-46.1,7.12695e-07,0.0016214
-46,-2.78989e-07,-6.89368e-05
-45.9,5.64265e-07,-0.00230637
-45.8,6.9174e-07,0.00116155
-45.7,1.06171e-07,-0.000225971
-45.6,-1.75845e-07,-0.00392008
-45.5,6.19562e-07,0.000848807
-45.4,1.6205e-07,-0.000394274
-45.3,-5.29049e-07,-0.0111286
-45.2,1.97557e-07,0.000610826
-45.1,4.63333e-08,-0.000585809
-45,1.08557e-06,0.0141101
-44.9,4.80097e-07,0.000416574
-44.8,4.31086e-07,-0.00081645
-44.7,-4.27768e-07,0.0042521
-44.6,6.84056e-07,0.000244115
-44.5,-5.02507e-07,-0.00111984
-44.4,-3.0821e-07,0.00242837
-44.3,-5.40342e-07,8.6959e-05
-44.2,-1.23098e-06,-0.00155658
-44.1,-7.22299e-07,0.00163307
-44,2.20642e-06,-6.8082e-05
-43.9,-2.13855e-07,-0.00228506
-43.8,1.13272e-07,0.00116996
-43.7,-8.05128e-07,-0.000222868
-43.6,8.30274e-07,-0.00386905
-43.5,-2.43832e-07,0.000853682
-43.4,-1.32818e-06,-0.000391605
-43.3,5.19911e-07,-0.010751
-43.2,3.08501e-07,0.000615183
-43.1,-8.97329e-07,-0.000581355
-43,1.57894e-06,0.0147709
-42.9,-1.41386e-07,0.000419656
-42.8,8.41683e-08,-0.000814403
-42.7,1.49012e-08,0.00431354
-42.6,2.22353e-07,0.000248076
-42.5,-1.23656e-06,-0.00111311
-42.4,1.07451e-06,0.00245032
-42.3,9.83709e-07,8.88266e-05
-42.2,1.42027e-08,-0.00154593
-42.1,-2.45054e-06,0.00164413
-42,3.22005e-07,-6.31549e-05
