Frequency Samples,Real,Imag
-51.2,-4,0
-51.1,-9.38965,-0.0288068
-51,7.30303,0.0448105
-50.9,2.71166,0.0249585
-50.8,-1.20793,-0.0148244
-50.7,4.04859,0.0621093
-50.6,2.77475,0.0510831
-50.5,-0.197095,-0.00423384
-50.4,3.26935,0.080258
-50.3,2.9073,0.0802963
-50.2,-0.000448227,-3.05176e-05
-50.1,2.92955,0.0989034
-50,3.18119,0.11717
-49.9,-0.254634,-0.0101609
-49.8,2.73361,0.117485
-49.7,3.8485,0.177231
-49.6,-1.34594,-0.0661216
-49.5,2.55851,0.133561
-49.4,6.64115,0.367119
-49.3,-9.40563,-0.548888
-49.2,-3.98977,-0.245117
-49.1,-9.33236,-0.602093
-49,7.98098,0.539497
-48.9,2.85684,0.201923
-48.8,-1.06396,-0.0784822
-48.7,4.23242,0.32526
-48.6,2.80112,0.223911
-48.5,-0.141809,-0.0117736
-48.4,3.34054,0.28767
-48.3,2.86916,0.255948
-48.2,-0.00404549,-0.000366211
-48.1,2.93571,0.280051
-48,3.07715,0.303073
-47.9,-0.313617,-0.0318608
-47.8,2.6784,0.280404
-47.7,3.6346,0.391785
-47.6,-1.47622,-0.163709
-47.5,2.39923,0.273524
-47.4,5.99839,0.702493
-47.3,-9.37998,-1.12771
-47.2,-3.95916,-0.488316
-47.1,-9.23436,-1.16772
-47,8.67176,1.12362
-46.9,2.99216,0.397039
-46.8,-0.915824,-0.124384
-46.7,4.39762,0.611015
-46.6,2.81217,0.399526
-46.5,-0.0895159,-0.0129976
-46.4,3.39378,0.50342
-46.3,2.8155,0.426472
-46.2,-0.0111485,-0.00173187
-46.1,2.92574,0.461552
-46,2.95849,0.476025
-45.9,-0.373181,-0.0612202
-45.8,2.60992,0.436386
-45.7,3.40936,0.580811
-45.6,-1.5971,-0.277123
-45.5,2.23565,0.394992
-45.4,5.37761,0.967133
-45.3,-9.31264,-1.70433
-45.2,-3.90846,-0.727698
-45.1,-9.09652,-1.72253
-45,9.37199,1.8045
-44.9,3.11575,0.609831
-44.8,-0.765367,-0.152241
-44.7,4.54194,0.917943
-44.6,2.80748,0.576373
-44.5,-0.0408786,-0.00852323
-44.4,3.4283,0.725776
-44.3,2.74683,0.590318
-44.2,-0.0215807,-0.00470352
-44.1,2.89976,0.641824
-44,2.8266,0.634734
-43.9,-0.432415,-0.0984964
-43.8,2.5291,0.584254
-43.7,3.17532,0.743805
-43.6,-1.70699,-0.405383
-43.5,2.06955,0.498198
-43.4,4.78147,1.16657
-43.3,-9.20385,-2.27546
-43.2,-3.83813,-0.961401
-43.1,-8.91998,-2.26344
-43,10.0781,2.59026
-42.9,3.22576,0.839636
-42.8,-0.614449,-0.16195
-42.7,4.66322,1.2444
-42.6,2.7868,0.752834
-42.5,0.00352621,0.000964642
-42.4,3.44347,0.952937
-42.3,2.66383,0.745988
-42.2,-0.0350876,-0.0099411
-42.1,2.85803,0.819318
-42,2.68297,0.778046
-41.9,-0.490369,-0.143837
-41.8,2.43699,0.722956
-41.7,2.93501,0.880501
-41.6,-1.80439,-0.547357
-41.5,1.90262,0.583534
-41.4,4.2124,1.30609
-41.3,-9.05412,-2.8378
-41.2,-3.7488,-1.18761
-41.1,-8.70611,-2.7875
-41,10.7866,3.49014
-40.9,3.32034,1.08561
-40.8,-0.464929,-0.153592
-40.7,4.75946,1.58852
-40.6,2.75005,0.927245
-40.5,0.0432129,0.0147176
-40.4,3.43886,1.18305
-40.3,2.56735,0.892043
-40.2,-0.0513105,-0.0180035
-40.1,2.801,0.99253
-40,2.52921,0.904966
-39.9,-0.546073,-0.19728
-39.8,2.33469,0.851557
-39.7,2.69095,0.990868
-39.6,-1.88794,-0.701769
-39.5,1.73649,0.651542
-39.4,3.67255,1.39084
-39.3,-8.86424,-3.38811
-39.2,-3.64129,-1.4046
-39.1,-8.45654,-3.29189
-39,11.4936,4.51479
-38.9,3.39775,1.34671
-38.8,-0.318654,-0.127432
-38.7,4.8288,1.94828
-38.6,2.69731,1.09792
-38.5,0.0777956,0.0319448
-38.4,3.41421,1.41421
-38.3,2.45835,1.02713
-38.2,-0.0698395,-0.0294323
-38.1,2.72922,1.16002
-38,2.36702,1.01466
-37.9,-0.598548,-0.258754
-37.8,2.22337,0.969272
-37.7,2.44562,1.07511
-37.6,-1.9564,-0.867213
-37.5,1.57269,0.702907
-37.4,3.16389,1.42574
-37.3,-8.63528,-3.92324
-37.2,-3.51658,-1.61071
-37.1,-8.17311,-3.77394
-37,12.1955,5.67672
-36.9,3.45627,1.62174
-36.8,-0.177427,-0.0839164
-36.7,4.86957,2.32144
-36.6,2.62884,1.26314
-36.5,0.10699,0.0518129
-36.4,3.36945,1.64453
-36.3,2.33797,1.14999
-36.2,-0.0901794,-0.0446968
-36.1,2.6434,1.32043
-36,2.19816,1.10646
-35.9,-0.646812,-0.328069
-35.8,2.10427,1.07543
-35.7,2.20147,1.13364
-35.6,-2.00866,-1.04217
-35.5,1.41264,0.738438
-35.4,2.68804,1.41565
-35.3,-8.36856,-4.44013
-35.2,-3.37578,-1.80439
-35.1,-7.85788,-4.23117
-35,12.8883,6.99096
-34.9,3.4943,1.9093
-34.8,-0.043003,-0.0236686
-34.7,4.88029,2.70563
-34.6,2.54508,1.42121
-34.5,0.13062,0.073467
-34.4,3.30469,1.87208
-34.3,2.20744,1.25946
-34.2,-0.111777,-0.0642281
-34.1,2.54437,1.47246
-34,2.02445,1.17989
-33.9,-0.689901,-0.404927
-33.8,1.97867,1.16953
-33.7,1.96084,1.16712
-33.6,-2.04379,-1.225
-33.5,1.25766,0.759064
-33.4,2.24643,1.36526
-33.3,-8.06566,-4.93584
-33.2,-3.22019,-1.98422
-33.1,-7.5131,-4.6613
-33,13.5684,8.4759
-32.9,3.51034,2.20784
-32.8,0.0829352,0.0525184
-32.7,4.85969,3.0983
-32.6,2.44665,1.57044
-32.5,0.148619,0.0960391
-32.4,3.22023,2.09499
-32.3,2.06815,1.35453
-32.2,-0.134013,-0.0883598
-32.1,2.43308,1.61496
-32,1.84776,1.23463
-31.9,-0.726874,-0.488914
-31.8,1.84787,1.25118
-31.7,1.72599,1.17639
-31.6,-2.06101,-1.41401
-31.5,1.10891,0.765813
-31.4,1.84016,1.27917
-31.3,-7.7284,-5.40756
-31.2,-3.0512,-2.1489
-31.1,-7.14119,-5.06224
-31,14.2319,10.1544
